Opened ..\..\URL-input-1M.txt with size 66152005
[  2]    3818 Q 955898 E   44106 H   7321 D   6078 I  3944 R    60 C    26 L    0K
*** crawling 13.0 pps @ 5.0 Mbps
[  4]    7808 Q 905060 E   94944 H  14387 D  12410 I  8491 R   160 C    95 L    2K
*** crawling 34.5 pps @ 8.4 Mbps
[  6]   10000 Q 874520 E  125484 H  18717 D  16241 I 11244 R   275 C   177 L    3K
*** crawling 41.0 pps @ 13.8 Mbps
[  8]   10000 Q 867461 E  132543 H  19784 D  17169 I 11893 R   390 C   296 L    8K
*** crawling 59.5 pps @ 10.0 Mbps
[134]   10000 Q 300217 E  699787 H  98908 D  85328 I 53480 R  8082 C  7947 L  232K
*** crawling 62.0 pps @ 8.9 Mbps
[136]   10000 Q 286522 E  713482 H 100915 D  87056 I 54164 R  8205 C  8062 L  235K
*** crawling 57.5 pps @ 8.5 Mbps
[138]   10000 Q 271283 E  728721 H 103039 D  88839 I 54801 R  8332 C  8194 L  238K
*** crawling 66.0 pps @ 7.8 Mbps
[140]   10000 Q 255604 E  744400 H 105188 D  90635 I 55441 R  8456 C  8313 L  240K
*** crawling 59.5 pps @ 6.3 Mbps
[142]   10000 Q 241535 E  758469 H 107158 D  92243 I 56052 R  8608 C  8468 L  249K
*** crawling 77.5 pps @ 14.3 Mbps
[144]   10000 Q 227206 E  772798 H 109360 D  94220 I 56810 R  8774 C  8623 L  254K
*** crawling 77.5 pps @ 11.3 Mbps
[146]   10000 Q 212669 E  787335 H 111638 D  96176 I 57501 R  8928 C  8796 L  259K
*** crawling 86.5 pps @ 10.8 Mbps
[148]   10000 Q 196317 E  803687 H 113823 D  98082 I 58173 R  9060 C  8912 L  263K
*** crawling 58.0 pps @ 8.3 Mbps
[150]   10000 Q 182417 E  817587 H 115959 D  99896 I 58836 R  9177 C  9038 L  267K
*** crawling 63.0 pps @ 9.7 Mbps
[152]   10000 Q 168934 E  831070 H 117928 D 101469 I 59391 R  9303 C  9158 L  272K
*** crawling 60.0 pps @ 9.2 Mbps
[154]   10000 Q 153848 E  846156 H 119995 D 103164 I 59987 R  9461 C  9312 L  274K
*** crawling 77.0 pps @ 6.0 Mbps
[156]   10000 Q 135980 E  864024 H 122310 D 105106 I 60727 R  9600 C  9451 L  279K
*** crawling 69.5 pps @ 17.5 Mbps
[158]   10000 Q 118518 E  881486 H 124534 D 106932 I 61417 R  9730 C  9594 L  285K
*** crawling 71.5 pps @ 14.2 Mbps
[160]   10000 Q 103663 E  896341 H 126666 D 108699 I 62088 R  9869 C  9722 L  289K
*** crawling 64.0 pps @ 10.1 Mbps
[162]   10000 Q  90402 E  909602 H 128659 D 110309 I 62694 R 10005 C  9863 L  291K
*** crawling 70.5 pps @ 7.4 Mbps
[164]   10000 Q  75345 E  924659 H 130987 D 112260 I 63387 R 10122 C  9975 L  293K
*** crawling 56.0 pps @ 5.1 Mbps
[166]   10000 Q  60306 E  939698 H 133188 D 114148 I 64079 R 10261 C 10116 L  304K
*** crawling 70.5 pps @ 21.3 Mbps
[168]   10000 Q  43511 E  956493 H 135355 D 115884 I 64726 R 10417 C 10270 L  307K
*** crawling 77.0 pps @ 11.8 Mbps
[170]   10000 Q  26407 E  973597 H 137487 D 117640 I 65399 R 10552 C 10394 L  309K
*** crawling 62.0 pps @ 6.3 Mbps
[172]    9800 Q      0 E 1000004 H 139301 D 119276 I 66028 R 10683 C 10528 L  311K
*** crawling 67.0 pps @ 6.7 Mbps
[174]    9021 Q      0 E 1000004 H 139301 D 119361 I 66071 R 10805 C 10649 L  314K
*** crawling 60.5 pps @ 9.0 Mbps
[176]    8138 Q      0 E 1000004 H 139301 D 119564 I 66154 R 10949 C 10790 L  318K
*** crawling 70.5 pps @ 9.0 Mbps
[178]    7366 Q      0 E 1000004 H 139301 D 119599 I 66176 R 11066 C 10911 L  320K
*** crawling 60.5 pps @ 8.1 Mbps
[180]    6611 Q      0 E 1000004 H 139301 D 119611 I 66184 R 11207 C 11055 L  322K
*** crawling 72.0 pps @ 9.6 Mbps
[182]    5872 Q      0 E 1000004 H 139301 D 119611 I 66184 R 11349 C 11193 L  325K
*** crawling 69.0 pps @ 10.0 Mbps
[184]    5183 Q      0 E 1000004 H 139301 D 119611 I 66184 R 11483 C 11321 L  327K
*** crawling 64.0 pps @ 5.3 Mbps
[186]    4503 Q      0 E 1000004 H 139301 D 119611 I 66184 R 11618 C 11470 L  331K
*** crawling 74.5 pps @ 8.9 Mbps
[188]    3841 Q      0 E 1000004 H 139301 D 119611 I 66184 R 11751 C 11598 L  334K
*** crawling 64.0 pps @ 5.9 Mbps
[190]    3180 Q      0 E 1000004 H 139301 D 119611 I 66184 R 11892 C 11733 L  337K
*** crawling 67.5 pps @ 10.4 Mbps
[192]    2513 Q      0 E 1000004 H 139301 D 119611 I 66184 R 12034 C 11874 L  340K
*** crawling 70.5 pps @ 6.9 Mbps
[194]    1851 Q      0 E 1000004 H 139301 D 119611 I 66184 R 12167 C 12003 L  345K
*** crawling 64.5 pps @ 6.6 Mbps
[196]    1187 Q      0 E 1000004 H 139301 D 119611 I 66184 R 12312 C 12143 L  350K
*** crawling 70.0 pps @ 10.5 Mbps
[198]     499 Q      0 E 1000004 H 139301 D 119611 I 66184 R 12393 C 12245 L  354K
*** crawling 51.0 pps @ 8.4 Mbps
[200]       9 Q      0 E 1000004 H 139301 D 119611 I 66184 R 12394 C 12250 L  355K
*** crawling 2.5 pps @ 0.8 Mbps
[202]       6 Q      0 E 1000004 H 139301 D 119611 I 66184 R 12394 C 12253 L  355K
*** crawling 1.5 pps @ 5.1 Mbps
[204]       4 Q      0 E 1000004 H 139301 D 119611 I 66184 R 12394 C 12254 L  355K
*** crawling 0.5 pps @ 2.0 Mbps
[206]       3 Q      0 E 1000004 H 139301 D 119611 I 66184 R 12394 C 12255 L  356K
*** crawling 0.5 pps @ 1.5 Mbps
[208]       2 Q      0 E 1000004 H 139301 D 119611 I 66184 R 12394 C 12255 L  356K
*** crawling 0.0 pps @ 0.0 Mbps
[210]       1 Q      0 E 1000004 H 139301 D 119611 I 66184 R 12394 C 12256 L  356K
*** crawling 0.5 pps @ 0.0 Mbps
[212]       1 Q      0 E 1000004 H 139301 D 119611 I 66184 R 12394 C 12256 L  356K
*** crawling 0.0 pps @ 0.0 Mbps
[214]       0 Q      0 E 1000004 H 139301 D 119611 I 66184 R 12394 C 12256 L  356K
*** crawling 0.0 pps @ 0.0 Mbps

Extracted 1000004 URLs @ 4629/s
Looked up 139301 DNS names @ 644/s
Attempted 66184 site robots @ 306/s
Crawled 12256 pages @ 56/s (214.00MB)
Parsed 356075 links @1648/s
HTTP codes: 2xx = 6662, 3xx = 1925, 4xx = 3540, 5xx = 129, other = 0
9 pages contain a link that points to a TAMU website. Out of these, 4 originate from outside of TAMU
